項次,民國年,市立大學平均每生分攤經費【新臺幣元】,高級中等學校平均每生分攤經費【新臺幣元】,國民中學平均每生分攤經費【新臺幣元】,國民小學平均每生分攤經費【新臺幣元】,幼兒園平均每生分攤經費【新臺幣元】,特殊教育學校平均每生分攤經費【新臺幣元】
1,103,229437,156462,193500,173009,150694,1044616
2,104,231505,163236,205478,172582,151718,1095821
3,105,246171,172643,222809,178453,144961,1093594
4,106,247471,180499,233447,183476,144157,1145097
5,107,236924,187951,249781,183586,164650,1226041
6,108,232505,186513,257287,184035,159239,1375178
7,109,212458,187258,252484,180734,136983,1381578
8,110,200340,189592,252618,177097,143347,1490194
9,111,212950,194830,267786,178620,161418,1530943
10,112,243610,205534,275011,182196,178571,1586247
